Internal Accession Code,Specific Epiphet,Genus,Species,Author,Variety,Subspecies,Cultivar,Botanical Synonyms,Common Name,Pinyin (Plant Name),Mandarin (Plant Name),Pinyin (Medicinal Material),Pharmaceutical Name,MPNS Link,FOC Link,Kew POW Link,Mandarin (Medicinal Material),Plant Family,Plant Class,Aquatic or Terrestrial,Growth Habit,Deciduous/ Evergreen,Lifecycle,Plant Classification,Reproductive Morphology,Flowering Period,Fruiting Period,Habitat,Plant Origin (province/ region),Endemic,Range/ Distribution,Range in China,Worldwide Conservation Status (IUCN Red List),National Conservation Status (China),Protected Status,Invasive?,Invasive Range,,Pharmacopoeia or Substitute Species?,Plant Part Used,Medicinal Material,Harvesting Time,Primary Processing,Secondary Processing,Plant under Cultivation?,Cultivation Regions,Wild-Harvesting Regions,Production Regions,Harvesting Practice,Daodi Status,Daodi Regions,Taste,Energy Flow,Meridian,TCM Properties,Medicinal/ Pharmacological Properties,Indications,Toxicity,Secondary Metabolites,Folk Medicinal Uses,Other Cultural Uses,Ornamental,,IUCN Red List Link,Species+ Link
ACOGRA-RHI-1,Acorus gramineus Aiton.,Acorus,gramineus,Aiton.,,,,,Japanese Sweet Flag,jin qian pu,金钱蒲,Shi Chang Pu,Acori Graminei Rhizoma,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2322&query=Acorus+gramineus+Aiton.&filter=&fuzzy=false&nameType=all&dbs=wcs,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200027132,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:84019-1,石菖蒲,Acoraceae,,Terrestrial,Herbaceous,,Perennial,Vascular,Monoecious,May-June,July-August,Streams and wet rocks,China,No,"China, Bangladesh, Cambodia, Japan, Korea, Laos, Myanmar, Philippines, Thailand, Vietnam","Hong Kong, Guangdong, Hainan, Jiangxi, Zhejiang, Hunan, Hubei, Shaanxi, Gansu, Guangxi, Guizhou, Yunnan, Sichuan, Tibet",Least concern,Least concern,,No,,,Pharmacopoeia,Rhizome,Acori Graminei Rhizoma,,,,,,,,,,,Pungent,Warm,"Heart, stomach","Regulates qi, relieves pain, expels wind","Anti-fungal, anti-bacterial, neuro-protective","Chronic gastritis, gastric ulcer, dyspepsia, chest and abdominal distension",,,,,Y,,,
ACTCIM-RHI-1,Actaea cimicifuga L.,Actaea,cimicifuga,L.,,,,Cimicifuga foetida L.,"Bugbane, Chinese Cimicifuga",sheng ma,升麻,Sheng Ma,Cimicifugae Rhizoma,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2620525&query=Actaea+cimicifuga+L.&filter=&fuzzy=false&nameType=all&dbs=wcsCmp,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200007568,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:707994-1,升麻,Ranunculaceae,,Terrestrial,Herbaceous,,Perennial,Vascular,Monoecious,July-September,August-October,"Mountain forests, forest margins",,"Yes (var. bifida, foliosa, longibracteata, velutina)","China, Kazakhstan, Korea, Mongolia, Russia","Tibet, Yunnan, Sichuan, Qinghai, Gansu, Shaanxi, western Henan, and Shanxi",Not evaluated,Least concern (var. foetida),,No,,,Pharmacopoeia,"Aerial herb, rhizome",Cimicifugae Rhizoma,,,,,,,,,,,"Pungent, sweet",Cold,"Lung, spleen, stomach, large intestine","Relieves exterior syndrome, promotes eruption, clears heat and toxins",,"Headache, sore throat, measles, anal prolapse, uterine prolapse, gastroptosis",,,,Ornamental,Y,,,
ACTDAH-RHI-1,Actaea dahurica (Turcz. ex Fisch. & C.A.Mey.) Franch.,Actaea,dahurica,(Turcz. ex Fisch. & C.A.Mey.) Franch.,,,,Cimicifuga dahurica,Dahurian Bugbane ,xing an sheng ma,兴安升麻,Sheng Ma,Rhizoma Cimicifugae,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2620530&query=Actaea+dahurica%C2%A0%28Turcz.+ex+Fisch.+%26+C.A.Mey.%29+Franch.&filter=&fuzzy=false&nameType=all&dbs=wcsCmp,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200007567,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:707999-1,升麻,Ranunculaceae,,Terrestrial,Herbaceous,,Perennial,Vascular,Dioecious,July-August,August-September,"Forests, scrub, grassland, (300-1200 m. altitude)",,No,"China, Korea, Russia","Hebei, Heilongjiang, Henan, Jilin, Liaoning, Inner Mongolia, Shaanxi, Shanxi",Not evaluated,Least concern,,,,,Pharmacopoeia,Rhizome,Rhizoma Cimicifugae,Autumn,"First, cleaned of dirt and dried in the sun until rootlets are dry. Rootlets are then burned or broken off, before being fully sun-dried.",,,"Liaoning, Hebei",,,,,,"Acrid, sweet",Slightly cold,"Large intestine, lung, spleen, stomach","Resolves the exterior, vents rashes and measles, clears heat, raises yang qi",,"Measles, headache, sore throat, prolapse",,Cimicifugenol,,Ornamental,Y,,-,-
ACTHER-RHI-1,Actaea heracleifolia (Kom.) J.Compton,Actaea,heracleifolia,(Kom.) J.Compton,,,,Cimicifuga heracleifolia,Cowparsnipleaf Bugbane,da san ye sheng ma,大三叶升麻,Sheng Ma,Rhizoma Cimicifugae,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2620540&query=Actaea+heracleifolia%C2%A0%28Kom.%29+J.Compton&filter=&fuzzy=false&nameType=all&dbs=wcsCmp,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200007573,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1002904-1,升麻,Ranunculaceae,,Terrestrial,Herbaceous,,Perennial,Vascular,Monoecious,August-September,September-October,"Grassy slopes, scrub (sea level to 1000 m. altitude)",,No,"China, Korea, Russia","Heilongjiang, Jilin, Liaoning, Inner Mongolia",Not evaluated,Least concern,,,,,Pharmacopoeia,Rhizome,Rhizoma Cimicifugae,Autumn,"First, cleaned of dirt and dried in the sun until rootlets are dry. Rootlets are then burned or broken off, before being fully sun-dried.",,,Northeastern China,,,,,,"Acrid, sweet",Slightly cold,"Large intestine, lung, spleen, stomach","Resolves the exterior, vents rashes and measles, clears heat, raises yang qi",,"Measles, headache, sore throat, prolapse",,Cimicifugenol,,Ornamental,Y,,-,-
ADESTR-RAD-1,Adenophora stricta Miq.,Adenophora,stricta,Miq.,,,,,Ladybells,sha shen,沙参,Nan Sha Shen,Adenophorae Radix,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=360489&query=Adenophora+stricta&filter=&fuzzy=false&nameType=all&dbs=wcs,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200022845,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:139516-1,,Campanulaceae,,Terrestrial,Herbaceous,,Perennial,Vascular,Monoecious,August-October,,"Meadows, forest margins",,"Yes (subsp. aurita, confusa, sessifolia, stricta)","China, Korea","Guangxi, Guangdong, Hunan, Jiangxi, Fujian",Not evaluated,Least concern,,No,,,Pharmacopoeia,Root,Adenophorae Radix,,,,,,,,,,,"Sweet, bitter",Cold,"Lung, stomach","Tonifies ying, clears heat, moistens the lungs, resolves phlegm, relieves cough",,"Cough due to dryness, sore throat, thirst, insufficient lactation",,,,Ornamental,Y,,,
ADETRI-RAD-1,Adenophora triphylla (Thunb.) A.DC.,Adenophora,triphylla,(Thunb.) A.DC.,,,,Adenophora tetraphylla (Thunb.) Fisch.,Japanese Ladybell,lun ye sha shen,轮叶沙参,Nan Sha Shen,Adenophorae Radix,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=360531&query=Adenophora+triphylla+%28Thunb.%29+A.DC.&filter=&fuzzy=false&nameType=all&dbs=wcs,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200022848,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:139531-1,,Campanulaceae,,Terrestrial,Herbaceous,,Perennial,Vascular,Monoecious,July-September,,"Grassy places, scrub",,No,"China, Korea, Japan, Laos, Vietnam","(Northeast, North, South, Southwest China)",Not evaluated,Least concern,,No,,,Pharmacopoeia,Root,Adenophorae Radix,,,,,,,,,,,"Sweet, bitter",Cold,"Lung, stomach","Tonifies ying, clears heat, moistens the lungs, resolves phlegm, relieves cough",,"Cough due to dryness, sore throat, thirst, insufficient lactation",,,,Ornamental,Y,,,
AGARUG-HER-1,Agastache rugosa (Fisch. & C.A.Mey.) Kuntze,Agastache  ,rugosa,(Fisch. & C.A.Mey.) Kuntze,,,,Lophanthus rugosus,"Korean Mint, Chinese Giant Hyssop",huo xiang,藿香,Huo Xiang,Agastache Herba,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=4494&query=Agastache+rugosa+%28Fisch.+%26+C.A.Mey.%29+Kuntze&filter=&fuzzy=false&nameType=all&dbs=wcs,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200019465,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:444504-1,藿香,Lamiaceae,Asterids,Terrestrial,Herbaceous,,Perennial,Vascular,Monoecious,June-September,September-November,"Valleys, grassy mountain areas",Korea,No,"Korea, Japan, Northern and Southern provinces of China, Russia, North America",,Not evaluated,,,No,,,Substitute,Aerial herb,Agastache Herba,,,,Yes,,,,Cultivated,,,Pungent,,Stomach,"Transforms dampness, releases the exterior","Antibacterial, carminative, diaphoretic","Abdominal distension, poor appetite, nausea",Safety class 1,"Estragole (methyl chavicol), limonene, eugenol",,Culinary herb in Korean cuisine,Y,,,
AGRPIL-HER-1,Agrimonia pilosa Ledeb.,Agrimonia,pilosa,Ledeb.,,,,,Hairy Agrimony,long ya cao,龙芽草,Xian He Cao,Agrimoniae Herba,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2901782&query=Agrimonia+pilosa+Ledeb.&filter=&fuzzy=false&nameType=all&dbs=wcsCmp,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200010599,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:720300-1,仙鶴草,Rosaceae,Rosids,Terrestrial,Herbaceous,,Perennial,Vascular,Monoecious,May-December,May-December,"Forest margins, thickets, meadows, along streams and road-sides (100-3800 m altitude)",China,No,"China, Bhutan, India, Japan, Laos, Korea, Mongolia, Myanmar, Nepal, Russia, Sikkim, Thailand, Vietnam, Europe",,Not evaluated,Least concern,,No,,,Pharmacopoeia,Aerial herb,Agrimoniae Herba,,,,,,,,Wild-harvested,,,"Bitter, sour",Neutral,"Heart, liver, lung","Stops bleeding, astringes, tonifies qi and blood","Anti-malarial, antidiarrheal, hemo-stasis-regulating, anti-inflammatory","Hemoptysis, epistaxis, metrorrhagia, malaria",Safety class 1,Corosolic acid,,Insect repellent,,,,
AILALT-RAD-1,Ailanthus altissima (Mill.) Swingle,Ailanthus,altissima,(Mill.) Swingle,,,,,"Tree of Heaven, Chinese Sumac",chou chun,臭椿,Chun Gen,Radix Ailanthi,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2626815&query=Ailanthus+altissima%C2%A0%28Mill.%29+Swingle&filter=&fuzzy=false&nameType=all&dbs=wcsCmp,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200012488,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:813521-1,椿根,Simaroubaceae,,Terrestrial,Tree,Deciduous,Perennial,Vascular,Monoecious,April-May,August-October,,China,"Yes (var. sutchuenensis, tanakai; not var. altissima)",,"All regions of China except Hainan, Heilongjiang, Jilin, Ningxia, Qinghai",Least concern,Least concern,,Yes,,,,Root,Radix Ailanthi,,,,,"Jiangsu, Zhejiang, Hubei",,,,,,,,,,,,,Ailanthin,,Ornamental,Y,,https://www.iucnredlist.org/species/62993/67810745,-
AILALT-COR-1,Ailanthus altissima (Mill.) Swingle,Ailanthus,altissima,(Mill.) Swingle,,,,,"Tree of Heaven, Chinese Sumac",chou chun,臭椿,Chun Gen Pi,Cortex Ailanthi,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2626815&query=Ailanthus+altissima%C2%A0%28Mill.%29+Swingle&filter=&fuzzy=false&nameType=all&dbs=wcsCmp,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200012488,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:813521-1,椿根皮,Simaroubaceae,,Terrestrial,Tree,Deciduous,Perennial,Vascular,Monoecious,April-May,August-October,,China,"Yes (var. sutchuenensis, tanakai; not var. altissima)",,"All regions of China except Hainan, Heilongjiang, Jilin, Ningxia, Qinghai",Least concern,Least concern,,Yes,,,Pharmacopoeia,"Root bark, trunk bark",Cortex Ailanthi,Year-round,"Directly sun-dried, or rough bark removed before dried",,,"Jiangsu, Zhejiang, Hubei",,,,,,"Bitter, astringent",Cold,"Large intestine, Liver, stomach","Dries dampness, clears heat, stops bleeding",,"Diarrhoea, leucorrhoea",,Ailanthin,,Ornamental,Y,,https://www.iucnredlist.org/species/62993/67810745,-
