Internal Accession Code,Specific Epiphet,Genus,Species,Author,Variety,Subspecies,Cultivar,Botanical Synonyms,Common Name,Pinyin (Plant Name),Mandarin (Plant Name),Pinyin (Medicinal Material),Pharmaceutical Name,MPNS Link,FOC Link,Kew POW Link,Mandarin (Medicinal Material),Plant Family,Plant Class,Aquatic or Terrestrial,Growth Habit,Deciduous/ Evergreen,Lifecycle,Plant Classification,Reproductive Morphology,Flowering Period,Fruiting Period,Habitat,Plant Origin (province/ region),Endemic,Range/ Distribution,Range in China,Worldwide Conservation Status (IUCN Red List),National Conservation Status (China),Protected Status,Invasive?,Invasive Range,,Pharmacopoeia or Substitute Species?,Plant Part Used,Medicinal Material,Harvesting Time,Primary Processing,Secondary Processing,Plant under Cultivation?,Cultivation Regions,Wild-Harvesting Regions,Production Regions,Harvesting Practice,Daodi Status,Daodi Regions,Taste,Energy Flow,Meridian,TCM Properties,Medicinal/ Pharmacological Properties,Indications,Toxicity,Secondary Metabolites,Folk Medicinal Uses,Other Cultural Uses,Ornamental,,IUCN Red List Link,Species+ Link
,Cinnamomum cassia (L.) J. Presl,Cinnamomum,cassia,(L.) J. Presl,,,,Cinnamomum aromaticum Nees; Laurus cassia L.; Persea cassia (L.) Spreng.,Chinese Cinnamon,,,Gui Zhi,Cinnamomi Ramulus,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2383714&query=Cinnamomum+cassia+%28L.%29+J.+Presl&filter=&fuzzy=false&nameType=all&dbs=wcsCmp,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200008698,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:466940-1,桂枝,Lauraceae,,Terrestrial,Tree,Evergreen,Perennial,Vascular,Monoecious,"June, July, August",October-December,Mountainous habitats,China,,"China, India, Indonesia, Laos, Thailand, Vietnam","Fujian, Guangdong, Guangxi, Guizhou, Hainan, Taiwan, Yunnan",Not evaluated,Only cultivated,,No,,,Pharmacopoeia,Twig,Cinnamomi Ramulus,,,,Yes,"Fujian, Guangdong, Guangxi, Guizhou, Hainan, Taiwan, Yunnan",,,Cultivated,,,"Pungent, sweet",Warm,"Heart, lung, bladder","Warms the stomach and spleen, nourishes the kidney, dispels cold, releases exterior","Antioxidant, anti-inflammatory, neuroprotective","Chills and fevers, musculoskeletal pain, diarrhea, asthma, cough",Safety class 2b,,,Spice,,,,
,Cinnamomum cassia (L.) J. Presl,Cinnamomum,cassia,(L.) J. Presl,,,,Cinnamomum aromaticum Nees; Laurus cassia L.; Persea cassia (L.) Spreng.,Chinese Cinnamon,,,Rou Gui,Cinnamomi Cortex,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2383714&query=Cinnamomum+cassia+%28L.%29+J.+Presl&filter=&fuzzy=false&nameType=all&dbs=wcsCmp,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200008698,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:466940-1,肉桂,Lauraceae,,Terrestrial,Tree,Evergreen,Perennial,Vascular,Monoecious,"June, July, August",October-December,Mountainous habitats,China,,"China, India, Indonesia, Laos, Thailand, Vietnam","Fujian, Guangdong, Guangxi, Guizhou, Hainan, Taiwan, Yunnan",Not evaluated,Only cultivated,,No,,,Pharmacopoeia,Bark,Cinnamomi Cortex,,,,Yes,"Fujian, Guangdong, Guangxi, Guizhou, Hainan, Taiwan, Yunnan",,,Cultivated,,,"Pungent, sweet",Hot,"Heart, liver, kidney, spleen","Tonifies yang, warms spleem, disperses cold, relieves pain","Antioxidant, anti-inflammatory, neuroprotective","Poor libido, impotence, cough, dyspnoae, musculoskeletal pain, diarrhoea",Safety class 2b,,,"Official healthfood in China, spice",,,,
,Cirsium arvense var. integrifolium Wimm. & Grab.,Cirsium,arvense,Wimm. & Grab.,integrifolium,,,Cephalonoplos setosus (Willd.) Kitam.; Cirsium segetum Bunge.,Creeping Thistle,ci er cai,刺儿菜,Xiao Ji,Cirsii Herba,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=3041402&query=Cirsium+arvense+var.+integrifolium+Wimm.+%26+Grab.&filter=&fuzzy=false&nameType=all&dbs=wcsCmp,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242313049,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77181736-1,小薊,Asteraceae,Asterids,Terrestrial,Herbaceous,,Perennial,Vascular,,,,"Mountain slopes, rivers, waterways, agricultural land",,No,"China, Japan, Korea, Mongolia, Russia, Southwest Asia, Europe",,Not evaluated,Least concern,,Yes,,,Pharmacopoeia,Aerial herb,Cirsii Herba,,,,No,,,,Wild-harvested,,,Sweet,Slightly cold,"Heart, liver","Cools blood, stops bleeding, invigorates blood",,"Haematuria, haemorrhoids, sores, abscesses",,,,Official healthfood in China,,,,
CIRJAP-RAD-1,Cirsium japonicum DC.,Cirsium,japonicum,DC.,,,,Carduus japonicus (DC.) Franch.,Japanese Thistle,ji,蓟,Da Ji,Cirsii Japonici Herba,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2901616&query=Cirsium+japonicum+DC.&filter=&fuzzy=false&nameType=all&dbs=wcsCmp,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200023675,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:195527-1,大薊,Asteraceae,Asterids,Terrestrial,Herbaceous,,Perennial,Vascular,Monoecious,,,"Forest margins, grassland, scrub, roadsides, waste places (400-2100 m altitude)","China, Japan",No,"China, Japan, Korea, Russia, Vietnam","Chongqing, Fujian, Guangdong, Guangxi, Guizhou, Hebei, Hubei, Hunan, Inner Mongolia, Jiangsu, Jiangxi, Qinghai, Shaanxi, Shandong, Sichuan, Taiwan, Yunnan, Zhejiang",Not evaluated,Least concern,,Yes,,,Pharmacopoeia,"Root, Aerial herb",Cirsii Japonici Herba,,,,No,,,,Wild-harvested,,,"Sweet, bitter",Slightly cold,"Heart, liver","Cools blood, stops bleeding, dispels stasis","Hepaprotective, anti-inflammatory, antioxidant","Bleeding, etrorrhagia, haematuria, epistaxis, jaundice, bruising",,,,Official healthfood in China,,,,
,Cissampelos pareira L.,Cissampelos,pareira,L.,,,,,Velvetleaf,,,Xi Sheng Teng,,,,,锡生藤/ 亞乎奴,Menispermaceae,,,,,,,,,,,,No,,,,Near threatened,,,,,Pharmacopoeia,,,,,,,,,,,,,,,,,,,,,,,,,,
CISDES-HER-1,Cistanche deserticola Ma.,Cistanche,deserticola,Ma.,,,,,"Desert Broomrape, Desert Ginseng",rou cong rong,肉苁蓉,Rou Cong Rong,Cistanche Herba,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2723155&query=Cistanche+deserticola+Ma.&filter=&fuzzy=false&nameType=all&dbs=wcsCmp,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200021454,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:957757-1,肉蓯蓉,Orobanchaceae,,Terrestrial,Parasitic,,Perennial,Vascular,Monoecious,May-June,June-July,"Sandy places, slopes, and lakesides of desert locations","China, Japan",No,China,"Gansu, Inner Mongolia, Ningxia, Xinjiang",Not evaluated,Near threatened,"(China) Cat. II, CITES: Appendix II",No,,,Pharmacopoeia,Fleshy stem,Cistanche Herba,,,,Yes,Xinjiang,"Inner Mongolia, Ningxia, Xinjiang, Gansu",,"Cultivated, wild-harvested",Yes,Inner Mongolia,"Sweet, salty",Warm,"Kidney, large intestine","Tonifies kidney yang, tonifies blood, moistens intestines","Antioxidant, antitumor, anti-inflammatory","Impotence, infertility, chronic constipation",Safety class 1,,,,,,,
CISSAL-HER-1,Cistanche salsa (C.A.Mey.) Beck,Cistanche,salsa,(C.A.Mey.) Beck,,,,,,yan sheng rou cong rong,盐生肉苁蓉,Rou Cong Rong,Herba Cistanches,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2723176&query=Cistanche+salsa%C2%A0%28C.A.Mey.%29+Beck&filter=&fuzzy=false&nameType=all&dbs=wcsCmp,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200021456,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:661966-1,肉蓯蓉,Orobanchaceae,,Terrestrial,Herbaceous (holoparasitic),,Perennial,Vascular,Monoecious,May-June,June-September,"Slopes (700-2700 m. altitude), host plants include plants in genera Kalidium, Salsola, Suaeda, and Nitraria",,No,,"Gansu, Inner Mongolia, Qinghai, Xinjiang",Not evaluated,Least concern,,,,,Substitute,Stem,Herba Cistanches,Spring,"Inflorescence is removed, and stem is cut into sections and sun-dried",,Yes,,,,Cultivated,,,"Sweet, salty",Warm,"Kidney, large intestine","Tonifies kidney yang, moistens the intestines, boosts essence and blood",,"Impotence, spermatorrhea, infertility, pain in waist and knee",,,,,,,-,-
CISTUB-HER-1,Cistanche tubulosa (Schenk) Wight ex Hook.f.,Cistanche,tubulosa,(Schenk) Wight ex Hook.f.,,,,,"Desert Broomrape, Desert Hyacinth",guan hua rou cong rong,管花肉苁蓉,Rou Cong Rong,Cistanche Herba,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2723186&query=Cistanche+tubulosa%C2%A0%28Schenk%29+Wight+ex+Hook.f.&filter=&fuzzy=false&nameType=all&dbs=wcsCmp,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:661974-1,肉蓯蓉,Orobanchaceae,,Terrestrial,Herbaceous (holoparasitic),,Perennial,Vascular,Monoecious,,,Sandy desert locations (c. 1200 m altitude),China,No,,"Xinjiang, Tibet",Not evaluated,Near threatened,(China) Cat. II,No,,,Pharmacopoeia,Fleshy stem,Cistanche Herba,Spring,"Inflorescence is removed, stem is cut into sections and sun-dried",,Yes,"Xinjiang, Tibet","Xinjiang, Tibet",,"Cultivated, wild-harvested",,,"Sweet, salty",Warm,"Kidney, large intestine","Tonifies kidney yang, tonifies blood, moistens intestines","Antioxidant, antitumor, anti-inflammatory","Impotence, infertility, chronic constipation",,,,,,,-,-
CITWIL-FRU-1,Citrus × wilsonii Yu.Tanaka,Citrus,x wilsonii,Yu.Tanaka,,,x wilsonii,Citrus × junos,Ichang Lemon,xiang cheng,香橙,Xiang Yuan,Fructus Citri,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2724427&query=Citrus+%C3%97+wilsonii%C2%A0Yu.Tanaka&filter=&fuzzy=false&nameType=all&dbs=wcsCmp,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=250084130,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:772103-1,香櫞,Rutaceae,,Terrestrial,Tree,Evergreen,Perennial,Vascular,Monoecious,April-May,October-November,Mainly cultivated,,No,,"(Cultivation) Jiangsu, Anhui, Zhejiang, Jiangxi, Hubei, Sichuan",Not evaluated,Least concern (C. x  junos),,,,,Pharmacopoeia,Fruit,Fructus Citri,Autumn,"Fruit cut into slices when fresh, then dried in sun or under low heat",,Yes,"Jiangsu, Zhejiang, Anhui, Jiangxi, Hubei",,"Jiangsu, Zhejiang, Anhui, Jiangxi, Hubei",Cultivated,,,"Bitter, acrid, sour",Warm,"Liver, Lung, spleen","Regulates qi, resolves phlegm, courses liver",,"Chest and abdominal pain, vomiting, nausea, cough",,"Citrusin, B-sitostero",,Food,,,-,-
CITMAX-EXO-1,Citrus maxima (Burm.) Merr. 'Tomentosa',Citrus,maxima,(Burm.) Merr. 'Tomentosa',,,,,,you,柚,Ju Hong Hua (Hua Ju Hong?),Citri Grandis Exocarpium,,,,,Rutaceae,,,,,,,,,,,,,,,,,,,,,,Peel,Citri Grandis Exocarpium,,,,,,,,,,,,,,,,,,,,,,,,
CITMED-FRU-1,Citrus medica L.,Citrus,medica,L.,,,,,Citron,xiang yuan,香橼,Xiang Yuan,Fructus Citri,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2724208&query=Citrus+medica+L.&filter=&fuzzy=false&nameType=all&dbs=wcsCmp,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200012432,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:59603-2,香櫞,Rutaceae,,Terrestrial,"Shrub, small tree",Evergreen,Perennial,Vascular,Monoecious,April-May,October-November,Mainly cultivated,,Yes (only var. yunnanensis),,"(Cultivation) Fujian, Guangxi, SW Guizhou, Hainan, Sichuan, E Tibet, Yunnan",Least concern,Data deficient,,,,,Pharmacopoeia,Fruit,Fructus Citri,Autumn,"Fruit cut into slices when fresh, then dried in sun or under low heat",,Yes,"Fujian, Guangxi, Guizhou, Hainan, Sichuan, Tibet, Yunnan",,"Fujian, Guangxi, Guizhou, Hainan, Sichuan, Tibet, Yunnan",Cultivated,,,"Bitter, acrid, sour",Warm,"Liver, Lung, spleen","Regulates qi, resolves phlegm, courses liver",,"Chest and abdominal pain, vomiting, nausea, cough",,"Citrusin, B-sitostero",,"Food, perfume",,,https://www.iucnredlist.org/species/62041221/62041228,-
CITLIM-FRU-1,Citrus medica L. 'Fingered',Citrus,medica,L.,,, 'Fingered',Citrus medica var. sarcodactylis (Hoola van Nooten) Swingle,Buddha-Hand Citron,,,Fo Shou,Citri Sarcodactylis Fructus,,,,佛手,Rutaceae,,Terrestrial,"Tree, shrub",Evergreen,Perennial,Vascular,Monoecious,April-May,October-November,(Cultivated),India,,"(Native) India, Myanmar; (cultivated) China, Vietnam, Laos, India, Myanmar","(Cultivated) Guangxi, Guangdong, Sichuan, Chongqing",Not evaluated,,,No,,,Pharmacopoeia,Fruit,Citri Sarcodactylis Fructus,,,,Yes,"Guangxi, Guangdong, Sichuan, Chongqing",None,,Cultivated,,,"Pungent, bitter, sour",Warm,"Liver, Lung, spleen, stomach","Regulates qi, harmonizes stomach, resolves phlegm, promotes digestion","Anti-oxidant, anti-inflammatory, anti-microbial","Abdominal distension, epigastric pain, loss of appetite, nausea, vomiting",Official healthfood,,"Treats stomachache, edema, headache, rheumatism, and arithritis","Official healthfood in China, perfume, religious offering, ornamental",Y,,,
CITAUR-FRU-1,Citrus x aurantium L.,Citrus,x aurantium,L.,,,,,Bitter Orange,suan cheng,酸橙,Zhi Qiao/ Zhi Ke,Aurantii Fructus,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2723957&query=Citrus+x+aurantium+L.&filter=&fuzzy=false&nameType=all&dbs=wcsCmp,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=250084129,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:59600-2,枳殼,Rutaceae,,Terrestrial,Tree,Evergreen,Perennial,Vascular,Monoecious,April-July,September-November,(Cultivated),China (cultigen),,China,"Sichuan, Jiangxi, Hunan, Jiangsu, Zhejiang",Not evaluated,,,No,,,Pharmacopoeia,Immature fruit,Aurantii Fructus,,,,Yes,"Sichuan, Jiangxi, Hunan, Jiangsu, Zhejiang",None,,Cultivated,Yes,"Hunan, Jiangxi, Sichuan","Pungent, bitter",Slightly cold,"Spleen, stomach","Regulates qi, promotes digestion","Anti-oxidant, anti-convulsant, anti-inflammatory","Abdominal distension, constipation",Safety class 1,,"Treats insomnia, anxiety, epipepsy in South American folk medicine","Official food, edible fruit, dietary supplement",,,,
CITAUR-FRU-2,Citrus x aurantium L.,Citrus,x aurantium,L.,,,,,Bitter Orange,suan cheng,酸橙,Zhi Shi,Aurantii Fructus Immaturus,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2723957&query=Citrus+x+aurantium+L.&filter=&fuzzy=false&nameType=all&dbs=wcsCmp,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=250084129,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:59600-2,枳實,Rutaceae,,Terrestrial,Tree,Evergreen,Perennial,Vascular,Monoecious,April-July,September-November,(Cultivated),China (cultigen),,China,"Sichuan, Jiangxi, Hunan",Not evaluated,,,No,,,Pharmacopoeia,Young fruit,Aurantii Fructus Immaturus,,,,Yes,"Sichuan, Jiangxi, Hunan",None,,Cultivated,,,"Pungent, bitter, sour",Slightly cold,"Spleen, stomach","Regulates qi, resolves phlegm","Anti-oxidant, anti-convulsant, anti-inflammatory","Abdominal distension, pain, constipation, diarrhoea",Safety class 1,,,"Official food, edible fruit, dietary supplement",,,,
CITRET-PER-1,Citrus x reticulata Blanco.,Citrus,x reticulata,Blanco.,,,,,"Mandarin Orange, Tangerine",gan ju,柑橘,Chen Pi,Citri Reticulatae Pericarpium,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2724336&query=Citrus+reticulata&filter=&fuzzy=false&nameType=all&dbs=wcsCmp,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200012434,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:772038-1,橘皮/陳皮,Rutaceae,,Terrestrial,Tree,Evergreen,Perennial,Vascular,Monoecious,"(Spring, autumn)","(Autumn, winter)",Forested and open hillsides at low elevations,China,No,China,"South of Qinling mountains, Guangdong",Not evaluated,Data deficient,,No,,,Pharmacopoeia,Peel of ripe fruit,Citri Reticulatae Pericarpium,,,,Yes,"South of Qinling mountains, Guangdong",None,,Cultivated,Yes,Guangdong (Xinhui district),"Pungent, bitter",Warm,"Lung, spleen","Regulates qi, tonifies spleen, dries dampness and phlegm","Anti-inflammatory, analgesic, anti-asthmatic, anti-scorbutic, carminative","Abdominal distension. nausea, vomiting, diarrhoea, indigestion, cough",Safety class 1,,,Official food and healthfood,,,,
CITRET-SEM-1,Citrus x reticulata Blanco.,Citrus,x reticulata,Blanco.,,,,,"Mandarin Orange, Tangerine",gan ju,柑橘,Ju He,Citri Reticulatae Semen,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2724336&query=Citrus+reticulata&filter=&fuzzy=false&nameType=all&dbs=wcsCmp,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200012434,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:772038-1,橘核,Rutaceae,,Terrestrial,Tree,Evergreen,Perennial,Vascular,Monoecious,"(Spring, autumn)","(Autumn, winter)",Forested and open hillsides at low elevations,China,No,China,"South of Qinling mountains, Guangdong",Not evaluated,Data deficient,,No,,,Pharmacopoeia,Seed,Citri Reticulatae Semen,,,,Yes,"South of Qinling mountains, Guangdong",None,,Cultivated,Yes,Guangdong (Xinhui district),Bitter,Neutral,"Liver, kidney","Invigorates qi, resolves phlegm, disperses nodules",,"Hernia, testicular pain, scrotal pain, mammary pain",Safety class 1,,,Official food and healthfood,,,,
CITRET-PER-2,Citrus x reticulata Blanco.,Citrus,x reticulata,Blanco.,,,,,"Mandarin Orange, Tangerine",gan ju,柑橘,Qing Pi,Citri Reticulatae Pericarpium Viride,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2724336&query=Citrus+reticulata&filter=&fuzzy=false&nameType=all&dbs=wcsCmp,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200012434,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:772038-1,青皮,Rutaceae,,Terrestrial,Tree,Evergreen,Perennial,Vascular,Monoecious,"(Spring, autumn)","(Autumn, winter)",Forested and open hillsides at low elevations,China,No,China,"South of Qinling mountains, Guangdong",Not evaluated,Data deficient,,No,,,Pharmacopoeia,Immature fruit (peel and whole),Citri Reticulatae Pericarpium Viride,,,,Yes,"South of Qinling mountains, Guangdong",None,,Cultivated,Yes,Guangdong (Xinhui district),"Pungent, bitter",Warm,"Liver, gallbladder, stomach","Breaks and invigorate qi, disperse stagnation, dispels stasis, soothes liver, promotes digestion",,"Chest and abdominal pain, indigestion, hernia, mastitis",Safety class 1,,,Official food and healthfood,,,,
CITRET-EXO-1,Citrus x reticulata Blanco.,Citrus,reticulata,Blanco.,,,,,"Mandarin Orange, Tangerine",gan ju,柑橘,Ju Hong,Exocarpium Rubrum Citri Reticulatae,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2724336&query=Citrus+reticulata+Blanco.&filter=&fuzzy=false&nameType=all&dbs=wcsCmp,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200012434,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:59603-2,橘红,Rutaceae,,Terrestrial,Tree,Evergreen,Perennial,Vascular,Monoecious,April-May,October-December,Hillside forests at low elevations,,No,,(Cultivation) South of Qin Ling mountains,Not evaluated,Data deficient,,,,,Pharmacopoeia,Fruit peel,Exocarpium Rubrum Citri Reticulatae,"Autumn, winter",Fruit is peeled and sun-dried,,Yes,,,,Cultivated,,,"Acrid, bitter",Warm,"Lung, stomach","Regulates qi, dries dampness",,"Vomiting, nausea, cough",Official healthfood in China,"Citral, geraniol",,Official food and healthfood in China,,,-,-
CLEARM-CAU-1,Clematis armandii Franch.,Clematis,armandii,Franch.,,,,,"Evergreen Clematis, Armand's Clematis",xiao mu tong,小木通,Chuan Mu Tong,Caulis Clematidis Armandii,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2725649&query=Clematis+armandi%C2%A0Franch.&filter=&fuzzy=false&nameType=all&dbs=wcsCmp,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200007589,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:709497-1,川木通,Ranunculaceae,,Terrestrial,Woody vine,Evergreen,Perennial,Vascular,Monoecious,March-April,April-July,"Forest margins, forests, scrub, besides streams (100-2400 m. altitude)",,"Yes (var. farquhariana, hefengensis; not var. armandii)","China, Myanmar, Vietnam","Fujian, S Gansu, N Guangdong, Guangxi, Guizhou, Hubei, Hunan, Jiangxi, S Shaanxi, Sichuan, E Tibet, Yunnan, S Zhejiang",Not evaluated,Least concern,,,,,Pharmacopoeia,Stem,Caulis Clematidis Armandii,"Autumn, winter","Rough skin is removed, stem is sun-dried",,No,,"Sichuan, Guizhou, Hunan, Shaanxi, Hubei","Sichuan, Guizhou, Hunan, Shaanxi, Hubei",Wild-harvested,Yes,Sichuan,Bitter,Cold,"Heart, bladder, small intestine","Clears heat, promotes urination",,"Amenorrhea, urinary conditions, poor milk production",,"Clemontanoside A, B, hederagenin",,Ornamental,Y,,-,-
CLECHI-RAD-1,Clematis chinensis Osbeck,Clematis,chinensis,Osbeck,,,,Clematis chinensis Lour.,Chinese Clematis,wei ling xian,威灵仙,Wei Ling Xian,Clematidis Radix et Rhizoma,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2725774&query=Clematis+chinensis+Osbeck&filter=&fuzzy=false&nameType=all&dbs=wcsCmp,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200007598,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:709583-1,威靈仙,Ranunculaceae,,Terrestrial,Woody vine,,Perennial,Vascular,Monoecious,June-September,August-November,"Hillsides, valleys, roadsides, scrub, along streams (100-1500 m altitude)",China,"Yes (var. anhweiensis, tatushanensis, vestita)","China, Japan, Vietnam","Anhui, Fujian, Guangdong, Guangxi, Guizhou, Hainan, Henan, Hubei, Hunan, Jiangsu, Shaanxi, Sichuan, Taiwan, Yunnan, Zhejiang",Not evaluated,Least concern,,No,,,Pharmacopoeia,"Root, rhizome",Clematidis Radix et Rhizoma,,,,No,,"Anhui, Fujian, Guangdong, Guangxi, Guizhou, Hainan, Henan, Hubei, Hunan, Jiangsu, Shaanxi, Sichuan, Taiwan, Yunnan, Zhejiang",,Wild-harvested,,,"Pungent, salty",Warm,Bladder,"Dispels wind damp, clears heat, open collaterals, relieves pain","Anti-inflammatory, analgesic","Musculoskeletal pain, paralysis, limb numbness",Safety class 1,,,Ornamental,Y,,,
CLEHEX-RAD-1,Clematis hexapetala Pall.,Clematis,hexapetala,Pall.,,,,,,mian tuan tie xian lian,棉团铁线莲,Wei Ling Xian,Clematidis Radix et Rhizoma,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2726127&query=Clematis+hexapetala+Pall.&filter=&fuzzy=false&nameType=all&dbs=wcsCmp,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200007650,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:709765-1,威靈仙,Ranunculaceae,,Terrestrial,Herbaceous,,Perennial,Vascular,Monoecious,"June, July, August",July-October,"Grasslands, sand dunes, dry hillsides (100-1300 m altitude)",China,Yes (var. tchefouensis),"China, Korea, Mongolia, Russia","Gansu, Hebei, Heilongjiang, Henan, Hubei, Inner Mongolia, Jiangsu, Jilin, Liaoning, Ningxia, Shaanxi, Shandong, Shanxi",Not evaluated,Least concern,,No,,,Pharmacopoeia,"Root, rhizome",Clematidis Radix et Rhizoma,,,,No,,"Gansu, Hebei, Heilongjiang, Henan, Hubei, Inner Mongolia, Jiangsu, Jilin, Liaoning, Ningxia, Shaanxi, Shandong, Shanxi",,Wild-harvested,,,"Pungent, salty",Warm,Bladder,"Dispels wind damp, clears heat, open collaterals, relieves pain","Anti-inflammatory,cytotoxic, antioxidative","Musculoskeletal pain, paralysis, limb numbness",Safety class 1,,,Ornamental,Y,,,
CLEMON-CAU-1,Clematis montana Buch.-Ham. ex DC.,Clematis,montana,Buch.-Ham. ex DC.,,,,,"Mountain Clematis, Himalayan Clematis",xiu qiu teng,绣球藤,Chuan Mu Tong,Caulis Clematidis Armandii,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2726363&query=Clematis+montana%C2%A0Buch.-Ham.+ex+DC.&filter=&fuzzy=false&nameType=all&dbs=wcsCmp,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200007684,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:709900-1,川木通,Ranunculaceae,,Terrestrial,Woody vine,Evergreen,Perennial,Vascular,Monoecious,April-September,July-September,"Forest margins, forests, scrub, besides streams (1000-4000 m. altitude)",,"Yes (var. glabrescens, sterilis, wilsoni; not var. brevifolia, longipes, montana)","China, Aghanistan, Bhutan, India, Myanmar, Nepal, Pakistan","Anhui, Fujian, Gansu, Guangxi, Guizhou, Henan, Hubei, Hunan, Jiangxi, Ningxia, Qinghai, Shaanxi, Sichuan, Taiwan, Tibet, Yunnan, Zhejiang",Not evaluated,Least concern,,,,,Pharmacopoeia,Stem,Caulis Clematidis Armandii,"Autumn, winter","Rough skin is removed, stem is sun-dried",,No,,"Sichuan, Guizhou, Hunan, Shaanxi, Hubei","Sichuan, Guizhou, Hunan, Shaanxi, Hubei",Wild-harvested,Yes,Sichuan,Bitter,Cold,"Heart, bladder, small intestine","Clears heat, promotes urination",,"Amenorrhea, urinary conditions, poor milk production",,"Clemontanoside A, B, hederagenin",,Ornamental,Y,,-,-
,Clematis terniflora DC. var. mandshurica (Rupr.) Ohwi,Clematis,terniflora,DC.,mandshurica (Rupr.) Ohwi,,,Clematis mandshurica Rupr.,Sweet Autumn Clematis,la liao tie xian lian,辣蓼铁线莲,Wei Ling Xian,Clematidis Radix et Rhizoma,https://mpns.science.kew.org/mpns-portal/plantDetail?plantId=2726811&query=Clematis+terniflora+DC.+var.+mandshurica+%28Rupr.%29+Ohwi&filter=&fuzzy=false&nameType=all&dbs=wcsCmp,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200007745,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77250055-1,威靈仙,Ranunculaceae,,Terrestrial,Woody vine,,Perennial,Vascular,Monoecious,"June, July, August",July-September,"Hillside scrub, mixed forests, forests, often on slopes (200-800 m altitude)",China,,"China, Korea, Mongolia, Russia","(North and Northeast China) Heilongjiang, Inner Mongolia, Jilin, Liaoning",Not evaluated,Least concern,,Yes,,,Pharmacopoeia,"Root, rhizome",Clematidis Radix et Rhizoma,,,,Yes,,"Heilongjiang, Inner Mongolia, Jilin, Liaoning",,Wild-harvested,,,"Pungent, salty",Warm,Bladder,"Dispels wind damp, clears heat, open collaterals, relieves pain","Anti-inflammatory,cytotoxic, antioxidative","Musculoskeletal pain, paralysis, limb numbness",Safety class 1,,,Ornamental,Y,,,
